Altium Designer Pick and Place Locations
C:\Users\82445\Documents\WeChat Files\wxid_4kxdh9r1aado11\FileStorage\File\2019-04\ch559\Project Outputs for ch559\Pick Place for ch559.txt

========================================================================================================================
File Design Information:

Date:       06/04/19
Time:       11:35
Revision:   4ad3490bbbf44fc6f05095d0b20b141d80b1b5bd
Variant:    No variations
Units used: mm

Designator Comment            Layer    Footprint            Center-X(mm) Center-Y(mm) Rotation Description        
J3         SH1.0-T-1-LT-4A_卧式 TopLayer XH2.54-4P            44.1960      67.0560      180      ""                 
J2         SH1.0-T-1-LT-4A_卧式 TopLayer XH2.54-4P            39.6240      124.0790     360      ""                 
U6         PTC918             TopLayer SO-8                 36.8300      91.2970      270      马达驱动芯片             
U5         PTC918             TopLayer SO-8                 65.4050      107.8230     90       马达驱动芯片             
U4         PTC918             TopLayer SO-8                 36.7030      77.7240      270      马达驱动芯片             
U3         PTC918             TopLayer SO-8                 65.6590      97.0280      360      马达驱动芯片             
U2         CH559L             TopLayer LQFP48               52.2730      93.8410      90       单片机                
U1         1117-3.3V          TopLayer SOT-223              49.7010      108.7754     90       "芯片 电源类"           
R17        1k                 TopLayer R0603                65.6590      91.9480      180      贴片电阻-通用            
R16        1k                 TopLayer R0603                65.5226      89.6620      180      贴片电阻-通用            
R15        22R                TopLayer R0603                52.8320      83.8200      90       贴片电阻-通用            
R14        22R                TopLayer R0603                51.0540      83.8200      90       贴片电阻-通用            
R13        1k                 TopLayer R0603                40.1320      113.0300     90       贴片电阻-通用            
R12        1k                 TopLayer R0603                33.5280      110.1090     180      贴片电阻-通用            
R11        2K                 TopLayer R0603                55.3720      102.6794     0        贴片电阻-通用            
R10        1k                 TopLayer R0603                46.2280      82.2960      90       贴片电阻-通用            
R9         1k                 TopLayer R0603                43.9420      82.2960      90       贴片电阻-通用            
R8         100R-1W            TopLayer R0603                67.4370      118.3894     0        插件电阻-碳膜            
R7         100R-1W            TopLayer R0603                48.7680      72.1296      360      插件电阻-碳膜            
R6         100R-1W            TopLayer R0603                40.8940      117.8560     90       插件电阻-碳膜            
R5         100R-1W            TopLayer R0603                54.1400      72.2566      0        插件电阻-碳膜            
R4         100R-1W            TopLayer R0603                63.8810      118.6180     0        插件电阻-碳膜            
R3         100R-1W            TopLayer R0603                45.0850      72.1296      360      插件电阻-碳膜            
R2         100R-1W            TopLayer R0603                38.3540      117.8560     90       插件电阻-碳膜            
R1         100R-1W            TopLayer R0603                57.5989      72.2502      0        插件电阻-碳膜            
J17        XH1.25-2P          TopLayer S1.25-2P             74.6860      98.2508      180      接插件-2.54           
J16        SH1.0-T-1-LT-2A_卧式 TopLayer J-SH2.0-T-1-LT-2A_立式 28.8070      91.3740      270      SH1.0-T-1-LT-2A_卧式 
J15        XH1.27-2P          TopLayer J-SH1.27-2           73.2050      91.0690      270      接插件-1.27           
J14        SH1.0-T-1-LT-2A_卧式 TopLayer J-SH2.0-T-1-LT-2A_立式 28.8070      82.5250      270      SH1.0-T-1-LT-2A_卧式 
J13        SH1.0-T-1-LT-2A_卧式 TopLayer J-SH2.0-T-1-LT-2A_立式 73.0670      115.2140     90       SH1.0-T-1-LT-2A_卧式 
